,Sr_No,FIR_No,IPC,Date_of_offence,Date_of_FIR,Police_station,Day,Time_of_offence,First_vehicle,Fatalities,Serious,Minor,Second_vehicle,Fatalities_1,Serious_1,Minor_1,Type_of_collision,Hit_and_run,Intersection_mid_block,Maneuver_type,Place_of_occurence,Total_Fatalities,Total_serious,Total_minor,Latitude,Longitude,Road_name,Road_number,Rural_urban,geo
0,1,3,"283,304-A,427,337 ",01/02/2017,2017-01-02,Kiratpur Sahib,1900-01-02,12:45:00,Bus/Truck,0,0,0,Car/Jeep/Van,2,2,0,Hit from Back,0,Intersection,Rough Driving,Bharatgarh,2,2,0,31.098747,76.613475,NH,NH-205,Rural,"31.098747,76.613475"
1,2,4,"279,304-A",01/06/2017,2017-01-07,Kiratpur Sahib,1900-01-06,00:00:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit and Run,1,Mid Block,Over Speeding,Dolowal,1,0,0,31.1844102,76.572122,NH,NH-205,Rural,"31.1844102,76.572122"
2,3,8,"279,304-A,427",01/20/2017,2017-01-21,Kiratpur Sahib,1900-01-06,20:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,2,0,0,Hit and Run,1,Intersection,Over Speeding,Sarsa Nangal,2,0,0,31.061886,76.599794,NH,NH-205,Rural,"31.061886,76.599794"
3,4,11,"279,304-A",01/20/2017,2017-01-22,Kiratpur Sahib,1900-01-06,11:00:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Head On,0,Mid Block,Over Speeding,Hardonimoh,1,0,0,31.160744,76.590448,Link Road,Link Road,Rural,"31.160744,76.590448"
4,5,18,"279,304-A,427",02/01/2017,2017-02-03,Kiratpur Sahib,1900-01-04,19:40:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit from Back,0,Mid Block,Over Speeding,Dolowal,1,0,0,31.1844102,76.572122,NH,NH-205,Urban,"31.1844102,76.572122"
5,6,25,"279,304-A,427",02/23/2017,2017-02-23,Kiratpur Sahib,1900-01-05,15:00:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head On,0,Intersection,Over Speeding,Sarsa Nangal,1,0,0,31.061886,76.599794,NH,NH-205,Rural,"31.061886,76.599794"
6,7,27,"279,304-A,427",03/05/2017,2017-03-06,Kiratpur Sahib,1900-01-01,20:30:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Hit and Run,1,Mid Block,Over Speeding,Tirak Karma,1,0,0,31.147479,76.570173,Link Road,Link Road,Rural,"31.147479,76.570173"
7,8,29,"279,304-A,427",03/02/2017,2017-03-08,Kiratpur Sahib,1900-01-05,04:45:00,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Head On,0,Mid Block,Over Speeding,Kalyanpur,1,0,0,31.1702827,76.5713996,NH,NH-205,Rural,"31.1702827,76.5713996"
8,9,30,"279,304-A",03/12/2017,2017-03-13,Kiratpur Sahib,1900-01-01,19:00:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Head On,0,Mid Block,Over Speeding,Massewal,1,0,0,31.2068993,76.6081615,NH,NH-205,Rural,"31.2068993,76.6081615"
9,10,34,"279,337,304-A,427",03/27/2017,2017-03-28,Kiratpur Sahib,1900-01-02,18:30:00,Bus/Truck,0,0,0,Two Wheeler,1,1,0,Head On,0,Mid Block,Over Speeding,Dehni,1,1,0,31.2057203,76.60279024,NH,NH-205,Rural,"31.2057203,76.60279024"
10,11,43,"283,304-A,427",04/21/2017,2017-04-21,Kiratpur Sahib,1900-01-06,20:15:00,Two Wheeler,1,0,0,Two Wheeler,1,1,0,Head On,0,Intersection,Over Speeding,Bharatgarh,2,1,0,31.098747,76.613475,NH,NH-205,Rural,"31.098747,76.613475"
11,12,45,"279 ,337,427",04/25/2017,2017-04-28,Kiratpur Sahib,1900-01-03,17:45:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Head On,1,Intersection,Over Speeding,sarai hotal Bharatgarh,0,1,0,31.098747,76.613475,NH,NH-205,Rural,"31.098747,76.613475"
12,13,52,"279, 337",04/01/2017,2017-05-21,Kiratpur Sahib,1900-01-07,16:00:00,Car/Jeep/Van,0,1,0,Pedestrian,0,1,0,Hit from Side,0,Mid Block,Over Speeding,bara pind,0,2,0,31.1048637,76.6041313,NH,NH-205,Rural,"31.1048637,76.6041313"
13,14,56,"279, 337, 338",05/24/2017,2017-05-26,Kiratpur Sahib,1900-01-04,06:30:00,Bus/Truck,0,0,0,Pedestrian,0,1,0,Head On,0,Intersection,Over Speeding,Kiratpur sahib ,0,1,0,31.1870057,76.5648956,SH,SH-22,Urban,"31.1870057,76.5648956"
14,15,57,"279 ,337,427",05/26/2017,2017-05-28,Kiratpur Sahib,1900-01-06,00:00:00,Bus/Truck,0,0,0,Two Wheeler,0,1,0,Hit from Back,1,Mid Block,Over Speeding,sarai hotal Bharatgarh,0,1,0,31.0865387,76.6059989,NH,NH-205,Rural,"31.0865387,76.6059989"
